datetime,stock_code,stock_name,action,volume,price,amount,account_id,source
2025-04-02,601666,平煤股份,BUY,3100,8.73,27063.0,A,模拟账户A
2025-04-02,601666,平煤股份,BUY,3000,8.77,26310.0,A,模拟账户A
2025-04-02,601006,大秦铁路,BUY,3300,6.54,21582.0,A,模拟账户A
2025-04-03,600256,广汇能源,BUY,4000,6.05,24200.0,A,模拟账户A
2025-04-09,603210,N泰鸿万立,SELL,500,33.67,16835.0,A,模拟账户A
2025-04-10,600507,方大特钢,BUY,5000,4.06,20299.999999999996,A,模拟账户A
2025-04-10,600256,广汇能源,BUY,4100,5.55,22755.0,A,模拟账户A
2025-04-17,002327,富安娜,BUY,3100,8.36,25916.0,A,模拟账户A
2025-04-18,601006,大秦铁路,SELL,3300,6.78,22374.0,A,模拟账户A
2025-04-18,601666,平煤股份,BUY,3000,8.48,25440.0,A,模拟账户A
2025-04-25,600507,方大特钢,SELL,5000,4.5,22500.0,A,模拟账户A
2025-05-08,600256,广汇能源,BUY,4000,5.81,23240.0,A,模拟账户A
2025-05-12,601666,平煤股份,BUY,3000,8.27,24810.0,A,模拟账户A
2025-05-30,600256,广汇能源,SELL,4000,5.93,23720.0,A,模拟账户A
2025-06-05,601666,平煤股份,SELL,6000,8.52,51120.0,A,模拟账户A
2025-06-06,601666,平煤股份,SELL,3000,8.63,25890.000000000004,A,模拟账户A
2025-06-06,600256,广汇能源,SELL,8100,5.99,48519.0,A,模拟账户A
2025-06-06,002327,富安娜,SELL,6400,8.41,53824.0,A,模拟账户A
2025-06-13,601666,平煤股份,BUY,3000,7.63,22890.0,A,模拟账户A
2025-06-16,002327,富安娜,BUY,3000,7.62,22860.0,A,模拟账户A
2025-06-19,601666,平煤股份,BUY,3000,7.5,22500.0,A,模拟账户A
2025-06-30,601666,平煤股份,BUY,3000,7.38,22140.0,A,模拟账户A
2025-07-03,600507,方大特钢,BUY,3000,4.77,14309.999999999998,A,模拟账户A
2025-07-03,601006,大秦铁路,BUY,3000,6.56,19680.0,A,模拟账户A
2025-07-04,600507,方大特钢,SELL,6600,4.8,31680.0,A,模拟账户A
2025-07-09,601006,大秦铁路,SELL,3000,6.69,20070.0,A,模拟账户A
2025-07-14,601006,大秦铁路,BUY,3000,6.5,19500.0,A,模拟账户A
2025-07-17,002327,富安娜,BUY,3400,7.3,24820.0,A,模拟账户A
2025-07-21,601666,平煤股份,SELL,6000,8.02,48120.0,A,模拟账户A
2025-07-22,002327,富安娜,BUY,2600,7.23,18798.0,A,模拟账户A
2025-07-22,601666,平煤股份,SELL,4000,8.78,35120.0,A,模拟账户A
2025-07-24,601666,平煤股份,SELL,4000,9.08,36320.0,A,模拟账户A
2025-07-25,002327,富安娜,BUY,4000,7.35,29400.0,A,模拟账户A
2025-07-25,601666,平煤股份,SELL,2300,9.07,20861.0,A,模拟账户A
2025-07-28,601006,大秦铁路,SELL,3000,6.67,20010.0,A,模拟账户A
2025-07-29,601666,平煤股份,BUY,2300,8.28,19044.0,A,模拟账户A
2025-07-30,601666,平煤股份,SELL,2300,8.4,19320.0,A,模拟账户A
2025-07-31,601666,平煤股份,BUY,2500,7.96,19900.0,A,模拟账户A
2025-08-01,601666,平煤股份,SELL,2500,8.04,20099.999999999996,A,模拟账户A
2025-08-05,600256,广汇能源,BUY,5000,5.45,27250.0,A,模拟账户A
2025-08-05,002327,富安娜,BUY,3000,7.25,21750.0,A,模拟账户A
2025-08-06,601006,大秦铁路,BUY,3300,6.51,21483.0,A,模拟账户A
2025-08-08,603406,N天富龙,SELL,500,73.88,36940.0,A,模拟账户A
2025-08-15,600256,广汇能源,BUY,3300,5.4,17820.0,A,模拟账户A
2025-08-20,601006,大秦铁路,BUY,3000,6.39,19170.0,A,模拟账户A
2025-08-21,000983,山西焦煤,BUY,5000,7.2,36000.0,A,模拟账户A
2025-08-27,002818,富森美,BUY,3300,12.13,40029.0,A,模拟账户A
2025-09-01,601666,平煤股份,BUY,3300,7.73,25509.0,A,模拟账户A
2025-09-04,600256,广汇能源,BUY,4000,4.99,19960.0,A,模拟账户A
2025-09-05,601666,平煤股份,BUY,3000,7.62,22860.0,A,模拟账户A
2025-09-05,002327,富安娜,BUY,3000,7.3,21900.0,A,模拟账户A
2025-09-10,601666,平煤股份,SELL,6300,7.79,49077.0,A,模拟账户A
2025-09-10,600256,广汇能源,BUY,4000,5.02,20080.0,A,模拟账户A
2025-09-12,002818,富森美,SELL,3300,12.4,40920.0,A,模拟账户A
2025-09-19,000983,山西焦煤,SELL,5000,7.31,36550.0,A,模拟账户A
2025-09-22,002818,富森美,BUY,3000,12.08,36240.0,A,模拟账户A
2025-09-22,001965,招商公路,BUY,4000,9.61,38440.0,A,模拟账户A
2025-09-23,601006,大秦铁路,BUY,3000,6.02,18060.0,A,模拟账户A
2025-09-25,002327,富安娜,BUY,3300,7.05,23265.0,A,模拟账户A
2025-09-25,600256,广汇能源,BUY,4000,4.99,19960.0,A,模拟账户A
2025-09-25,001965,招商公路,BUY,3000,9.72,29160.000000000004,A,模拟账户A
2025-09-29,001965,招商公路,SELL,7000,9.88,69160.0,A,模拟账户A
2025-10-10,601006,大秦铁路,BUY,3300,5.84,19272.0,A,模拟账户A
2025-10-13,002327,富安娜,BUY,3000,7.05,21150.0,A,模拟账户A
2025-10-14,601006,大秦铁路,BUY,3000,5.84,17520.0,A,模拟账户A
2025-10-14,600256,广汇能源,BUY,3000,5.26,15780.0,A,模拟账户A
2025-10-21,601006,大秦铁路,BUY,2200,5.88,12936.0,A,模拟账户A
2025-10-27,600256,广汇能源,SELL,12000,5.3,63600.0,A,模拟账户A
2025-10-30,600256,广汇能源,SELL,11300,5.37,60681.0,A,模拟账户A
2025-10-31,002327,富安娜,BUY,4000,7.15,28600.0,A,模拟账户A
2025-11-04,601006,大秦铁路,BUY,3000,5.76,17280.0,A,模拟账户A
2025-11-06,601006,大秦铁路,BUY,3000,5.73,17190.0,A,模拟账户A
2025-11-06,002327,富安娜,BUY,3000,7.26,21780.0,A,模拟账户A
2025-11-13,002327,富安娜,SELL,12000,7.35,88200.0,A,模拟账户A
2025-11-18,601006,大秦铁路,BUY,4000,5.66,22640.0,A,模拟账户A
2025-11-18,002327,富安娜,SELL,10000,7.37,73700.0,A,模拟账户A
2025-11-24,002327,富安娜,SELL,7000,7.3,51100.0,A,模拟账户A
2025-11-26,002818,富森美,BUY,3000,10.98,32940.0,A,模拟账户A
2025-11-26,601006,大秦铁路,BUY,4000,5.54,22160.0,A,模拟账户A
2025-12-03,600256,广汇能源,BUY,10000,4.99,49900.0,A,模拟账户A
2025-12-10,002327,富安娜,BUY,8000,6.97,55760.0,A,模拟账户A
2026-01-26,600256,广汇能源,SELL,10000,5.53,55300.0,A,模拟账户A
2026-01-27,002818,富森美,SELL,3000,11.6,34800.0,A,模拟账户A
2026-01-30,002818,富森美,SELL,3000,11.71,35130.0,A,模拟账户A
2026-01-30,601006,大秦铁路,BUY,5000,5.05,25250.0,A,模拟账户A
2026-02-02,002327,富安娜,BUY,5000,6.95,34750.0,A,模拟账户A
2026-03-04,601006,大秦铁路,SELL,5000,5.13,25650.0,A,模拟账户A
2026-03-25,601006,大秦铁路,BUY,5000,5.25,26250.0,A,模拟账户A
2026-03-25,601166,兴业银行,BUY,3000,18.61,55830.0,A,模拟账户A
2026-04-10,001965,招商公路,BUY,1500,8.71,13065.000000000002,A,模拟账户A
2025-01-02,000807,云铝股份,SELL,20000,13.75,275000.0,B,模拟账户B
2025-01-02,601390,中国中铁,BUY,30000,6.26,187800.0,B,模拟账户B
2025-01-02,601390,中国中铁,BUY,20000,6.26,125200.0,B,模拟账户B
2025-01-02,000807,云铝股份,SELL,10000,13.97,139700.0,B,模拟账户B
2025-01-02,000807,云铝股份,SELL,10000,13.91,139100.0,B,模拟账户B
2025-01-02,601390,中国中铁,BUY,10000,6.27,62700.0,B,模拟账户B
2025-01-02,601390,中国中铁,BUY,10000,6.27,62700.0,B,模拟账户B
2025-01-02,000807,云铝股份,SELL,10000,13.98,139800.0,B,模拟账户B
2025-01-02,601390,中国中铁,BUY,10000,6.24,62400.0,B,模拟账户B
2025-01-02,600362,江西铜业,BUY,10000,20.7,207000.0,B,模拟账户B
2025-01-02,000807,云铝股份,SELL,10000,13.81,138100.0,B,模拟账户B
2025-01-02,601390,中国中铁,BUY,20000,6.16,123200.0,B,模拟账户B
2025-01-02,601390,中国中铁,BUY,5000,6.09,30450.0,B,模拟账户B
2025-01-03,000807,云铝股份,SELL,10000,13.99,139900.0,B,模拟账户B
2025-01-03,601600,中国铝业,BUY,2900,7.29,21141.0,B,模拟账户B
2025-01-03,601600,中国铝业,BUY,17000,7.29,123930.0,B,模拟账户B
2025-01-03,600362,江西铜业,SELL,10000,20.79,207900.0,B,模拟账户B
2025-01-03,002085,万丰奥威,BUY,10000,17.4,174000.0,B,模拟账户B
2025-01-06,601390,中国中铁,SELL,20000,6.03,120600.0,B,模拟账户B
2025-01-06,601600,中国铝业,BUY,20000,7.19,143800.0,B,模拟账户B
2025-01-07,002085,万丰奥威,SELL,9000,16.46,148140.0,B,模拟账户B
2025-01-07,601600,中国铝业,BUY,10000,7.2,72000.0,B,模拟账户B
2025-01-08,601600,中国铝业,BUY,10000,7.02,70200.0,B,模拟账户B
2025-01-08,601600,中国铝业,SELL,10000,7.09,70900.0,B,模拟账户B
2025-01-08,002085,万丰奥威,BUY,5000,16.41,82050.0,B,模拟账户B
2025-01-09,601600,中国铝业,SELL,40000,7.16,286400.0,B,模拟账户B
2025-01-09,601390,中国中铁,BUY,20000,5.93,118600.0,B,模拟账户B
2025-01-09,002085,万丰奥威,SELL,5000,16.98,84900.0,B,模拟账户B
2025-01-10,002085,万丰奥威,BUY,10000,16.73,167300.0,B,模拟账户B
2025-01-10,601390,中国中铁,BUY,10000,5.86,58600.0,B,模拟账户B
2025-01-10,601600,中国铝业,SELL,9900,7.32,72468.0,B,模拟账户B
2025-01-14,002085,万丰奥威,SELL,10000,17.03,170300.0,B,模拟账户B
2025-01-14,601336,新华保险,BUY,5000,45.41,227050.0,B,模拟账户B
2025-01-14,601336,新华保险,BUY,1000,45.95,45950.0,B,模拟账户B
2025-01-14,601390,中国中铁,SELL,20000,5.91,118200.0,B,模拟账户B
2025-01-14,601336,新华保险,BUY,2000,46.02,92040.0,B,模拟账户B
2025-01-14,601390,中国中铁,SELL,30000,5.91,177300.0,B,模拟账户B
2025-01-14,600362,江西铜业,BUY,9000,21.03,189270.0,B,模拟账户B
2025-01-14,002085,万丰奥威,SELL,1000,17.43,17430.0,B,模拟账户B
2025-01-14,601390,中国中铁,SELL,50000,5.92,296000.0,B,模拟账户B
2025-01-15,601390,中国中铁,BUY,30000,5.92,177600.0,B,模拟账户B
2025-01-15,601336,新华保险,SELL,8000,46.24,369920.0,B,模拟账户B
2025-01-15,601600,中国铝业,BUY,30000,7.37,221100.0,B,模拟账户B
2025-01-16,002695,煌上煌,BUY,20000,8.7,174000.0,B,模拟账户B
2025-01-16,601600,中国铝业,SELL,30000,7.56,226800.0,B,模拟账户B
2025-01-16,601390,中国中铁,BUY,30000,5.98,179400.0,B,模拟账户B
2025-01-16,601390,中国中铁,BUY,10000,5.96,59600.0,B,模拟账户B
2025-01-16,600362,江西铜业,SELL,9000,21.3,191700.0,B,模拟账户B
2025-01-16,002085,万丰奥威,BUY,10000,17.41,174100.0,B,模拟账户B
2025-01-16,002085,万丰奥威,BUY,5000,17.34,86700.0,B,模拟账户B
2025-01-16,601390,中国中铁,SELL,30000,5.92,177600.0,B,模拟账户B
2025-01-17,601390,中国中铁,BUY,20000,5.88,117600.0,B,模拟账户B
2025-01-17,002695,煌上煌,SELL,20000,8.56,171200.0,B,模拟账户B
2025-01-17,601390,中国中铁,SELL,20000,5.95,119000.0,B,模拟账户B
2025-01-20,601390,中国中铁,BUY,20000,5.98,119600.0,B,模拟账户B
2025-01-20,600362,江西铜业,BUY,10000,21.12,211200.0,B,模拟账户B
2025-01-20,002085,万丰奥威,SELL,15000,17.549,263228.0,B,模拟账户B
2025-01-21,601600,中国铝业,BUY,30000,7.69,230700.0,B,模拟账户B
2025-01-21,601600,中国铝业,BUY,10000,7.65,76500.0,B,模拟账户B
2025-01-23,601390,中国中铁,SELL,40000,5.91,236400.0,B,模拟账户B
2025-01-23,000768,中航西飞,BUY,10000,25.47,254700.0,B,模拟账户B
2025-01-24,601390,中国中铁,SELL,35000,5.88,205800.0,B,模拟账户B
2025-01-24,600362,江西铜业,BUY,5000,20.9,104500.0,B,模拟账户B
2025-01-24,601600,中国铝业,SELL,40000,7.75,310000.0,B,模拟账户B
2025-01-24,601600,中国铝业,BUY,30000,7.77,233100.0,B,模拟账户B
2025-01-27,601919,中远海控,BUY,10000,14.37,143700.0,B,模拟账户B
2025-01-27,000768,中航西飞,SELL,10000,25.53,255300.0,B,模拟账户B
2025-01-27,002085,万丰奥威,BUY,10000,17.04,170400.0,B,模拟账户B
2025-01-27,601600,中国铝业,BUY,10000,7.75,77500.0,B,模拟账户B
2025-01-27,601600,中国铝业,BUY,5000,7.77,38850.0,B,模拟账户B
2025-02-05,601600,中国铝业,SELL,45000,7.88,354600.0,B,模拟账户B
2025-02-05,002085,万丰奥威,SELL,10000,17.64,176400.0,B,模拟账户B
2025-02-05,600362,江西铜业,BUY,10000,21.0,210000.0,B,模拟账户B
2025-02-05,601600,中国铝业,BUY,30000,7.83,234900.0,B,模拟账户B
2025-02-05,601600,中国铝业,BUY,10000,7.78,77800.0,B,模拟账户B
2025-02-05,600362,江西铜业,SELL,10000,20.98,209800.0,B,模拟账户B
2025-02-05,000768,中航西飞,BUY,8000,25.13,201040.0,B,模拟账户B
2025-02-06,601600,中国铝业,SELL,40000,7.84,313600.0,B,模拟账户B
2025-02-06,601600,中国铝业,BUY,30000,7.77,233100.0,B,模拟账户B
2025-02-06,000768,中航西飞,SELL,8000,25.63,205040.0,B,模拟账户B
2025-02-06,601919,中远海控,BUY,10000,14.12,141200.0,B,模拟账户B
2025-02-06,600362,江西铜业,SELL,1100,21.26,23386.0,B,模拟账户B
2025-02-06,600362,江西铜业,SELL,13900,21.25,295375.0,B,模拟账户B
2025-02-06,601600,中国铝业,BUY,10000,7.65,76500.0,B,模拟账户B
2025-02-07,601600,中国铝业,BUY,4600,7.56,34776.0,B,模拟账户B
2025-02-07,601600,中国铝业,BUY,10000,7.65,76500.0,B,模拟账户B
2025-02-07,601600,中国铝业,SELL,40000,7.71,308400.0,B,模拟账户B
2025-02-07,601390,中国中铁,BUY,30000,5.96,178800.0,B,模拟账户B
2025-02-07,601390,中国中铁,BUY,20000,5.95,119000.0,B,模拟账户B
2025-02-07,601919,中远海控,SELL,20000,14.51,290200.0,B,模拟账户B
2025-02-07,601390,中国中铁,BUY,10000,5.93,59300.0,B,模拟账户B
2025-02-10,601600,中国铝业,SELL,14600,7.9,115340.0,B,模拟账户B
2025-02-10,000768,中航西飞,BUY,10000,25.77,257700.0,B,模拟账户B
2025-02-10,601390,中国中铁,SELL,60000,5.96,357600.0,B,模拟账户B
2025-02-10,601919,中远海控,BUY,10000,14.37,143700.0,B,模拟账户B
2025-02-11,000768,中航西飞,BUY,6000,25.63,153780.0,B,模拟账户B
2025-02-11,601919,中远海控,SELL,10000,14.55,145500.0,B,模拟账户B
2025-02-11,000768,中航西飞,BUY,4000,25.45,101800.0,B,模拟账户B
2025-02-11,600362,江西铜业,BUY,10000,22.03,220300.0,B,模拟账户B
2025-02-12,002600,领益智造,BUY,10000,9.81,98100.0,B,模拟账户B
2025-02-12,600362,江西铜业,BUY,6000,21.62,129720.0,B,模拟账户B
2025-02-12,000768,中航西飞,SELL,10000,25.57,255700.0,B,模拟账户B
2025-02-12,600362,江西铜业,BUY,5000,21.64,108200.0,B,模拟账户B
2025-02-13,601600,中国铝业,BUY,20000,7.63,152600.0,B,模拟账户B
2025-02-13,002600,领益智造,SELL,10000,9.82,98200.0,B,模拟账户B
2025-02-13,601600,中国铝业,BUY,10000,7.68,76800.0,B,模拟账户B
2025-02-13,000768,中航西飞,SELL,10000,25.93,259300.0,B,模拟账户B
2025-02-13,601600,中国铝业,BUY,10000,7.65,76500.0,B,模拟账户B
2025-02-13,601600,中国铝业,BUY,10000,7.64,76400.0,B,模拟账户B
2025-02-13,601600,中国铝业,BUY,10000,7.61,76100.0,B,模拟账户B
2025-02-13,600362,江西铜业,SELL,10000,21.68,216800.0,B,模拟账户B
2025-02-13,600362,江西铜业,BUY,5000,21.62,108100.0,B,模拟账户B
2025-02-14,601600,中国铝业,SELL,50000,7.68,384000.0,B,模拟账户B
2025-02-14,601600,中国铝业,SELL,10000,7.69,76900.0,B,模拟账户B
2025-02-14,600362,江西铜业,SELL,6000,21.76,130560.0,B,模拟账户B
2025-02-17,601600,中国铝业,BUY,30000,7.57,227100.0,B,模拟账户B
2025-02-17,601600,中国铝业,BUY,20000,7.56,151200.0,B,模拟账户B
2025-02-17,601600,中国铝业,BUY,10000,7.54,75400.0,B,模拟账户B
2025-02-17,601600,中国铝业,BUY,10000,7.51,75100.0,B,模拟账户B
2025-02-17,000768,中航西飞,BUY,8000,24.96,199680.0,B,模拟账户B
2025-02-17,601600,中国铝业,BUY,9000,7.48,67320.0,B,模拟账户B
2025-02-19,000768,中航西飞,SELL,8000,24.7,197600.0,B,模拟账户B
2025-02-19,601600,中国铝业,BUY,10000,7.46,74600.0,B,模拟账户B
2025-02-20,601600,中国铝业,SELL,20000,7.5,150000.0,B,模拟账户B
2025-02-21,600362,江西铜业,BUY,8000,21.16,169280.0,B,模拟账户B
2025-02-21,601600,中国铝业,SELL,69000,7.812,539059.0,B,模拟账户B
2025-02-21,600511,国药股份,BUY,8000,30.72,245760.0,B,模拟账户B
2025-02-21,600511,国药股份,BUY,2000,30.47,60940.0,B,模拟账户B
2025-02-24,000807,云铝股份,BUY,10000,15.92,159200.0,B,模拟账户B
2025-02-24,000807,云铝股份,BUY,10000,15.95,159500.0,B,模拟账户B
2025-02-25,000807,云铝股份,SELL,20000,16.29,325800.0,B,模拟账户B
2025-02-25,601600,中国铝业,BUY,20000,7.56,151200.0,B,模拟账户B
2025-02-25,601600,中国铝业,BUY,10000,7.53,75300.0,B,模拟账户B
2025-02-25,600511,国药股份,SELL,3000,29.93,89790.0,B,模拟账户B
2025-02-25,000807,云铝股份,BUY,10000,15.98,159800.0,B,模拟账户B
2025-02-25,000807,云铝股份,BUY,3000,15.96,47880.0,B,模拟账户B
2025-02-25,600511,国药股份,SELL,7000,30.01,210070.0,B,模拟账户B
2025-02-25,601600,中国铝业,BUY,10000,7.43,74300.0,B,模拟账户B
2025-02-25,601600,中国铝业,BUY,10000,7.42,74200.0,B,模拟账户B
2025-02-26,000807,云铝股份,SELL,13000,16.422,213492.0,B,模拟账户B
2025-02-26,601600,中国铝业,BUY,10000,7.43,74300.0,B,模拟账户B
2025-02-26,601600,中国铝业,BUY,10000,7.41,74100.0,B,模拟账户B
2025-02-26,601600,中国铝业,BUY,10000,7.39,73900.0,B,模拟账户B
2025-02-26,601600,中国铝业,BUY,6000,7.38,44280.0,B,模拟账户B
2025-02-26,600362,江西铜业,SELL,8000,21.13,169040.0,B,模拟账户B
2025-02-26,601899,紫金矿业,BUY,10000,15.82,158200.0,B,模拟账户B
2025-02-27,601899,紫金矿业,SELL,10000,15.73,157300.0,B,模拟账户B
2025-02-27,601600,中国铝业,BUY,20000,7.22,144400.0,B,模拟账户B
2025-03-03,601600,中国铝业,SELL,30000,7.35,220500.0,B,模拟账户B
2025-03-03,601600,中国铝业,SELL,30000,7.37,221100.0,B,模拟账户B
2025-03-03,002085,万丰奥威,BUY,10000,19.93,199300.0,B,模拟账户B
2025-03-03,601600,中国铝业,SELL,20000,7.43,148600.0,B,模拟账户B
2025-03-03,601899,紫金矿业,BUY,10000,15.75,157500.0,B,模拟账户B
2025-03-03,601600,中国铝业,SELL,26000,7.33,190580.0,B,模拟账户B
2025-03-03,600362,江西铜业,BUY,10000,20.92,209200.0,B,模拟账户B
2025-03-03,601600,中国铝业,BUY,30000,7.29,218700.0,B,模拟账户B
2025-03-04,002085,万丰奥威,SELL,10000,20.44,204401.0,B,模拟账户B
2025-03-04,601600,中国铝业,BUY,10000,7.2,72000.0,B,模拟账户B
2025-03-04,601899,紫金矿业,SELL,10000,15.99,159900.0,B,模拟账户B
2025-03-04,601600,中国铝业,BUY,10000,7.23,72300.0,B,模拟账户B
2025-03-04,600362,江西铜业,SELL,10000,20.93,209300.0,B,模拟账户B
2025-03-05,601600,中国铝业,BUY,10000,7.2,72000.0,B,模拟账户B
2025-03-05,600760,中航沈飞,BUY,6000,44.36,266160.0,B,模拟账户B
2025-03-05,601600,中国铝业,SELL,40000,7.35,294000.0,B,模拟账户B
2025-03-05,601600,中国铝业,SELL,10000,7.35,73500.0,B,模拟账户B
2025-03-05,600362,江西铜业,SELL,10000,21.05,210500.0,B,模拟账户B
2025-03-05,600760,中航沈飞,BUY,4000,44.29,177160.0,B,模拟账户B
2025-03-06,601600,中国铝业,SELL,10000,7.59,75900.0,B,模拟账户B
2025-03-06,002085,万丰奥威,BUY,10000,20.61,206100.0,B,模拟账户B
2025-03-06,600760,中航沈飞,SELL,10000,44.36,443600.0,B,模拟账户B
2025-03-07,600760,中航沈飞,BUY,6000,44.58,267480.0,B,模拟账户B
2025-03-07,002085,万丰奥威,SELL,10000,20.77,207700.0,B,模拟账户B
2025-03-07,002085,万丰奥威,BUY,10000,20.47,204700.0,B,模拟账户B
2025-03-07,002085,万丰奥威,BUY,5000,20.32,101600.0,B,模拟账户B
2025-03-10,600760,中航沈飞,SELL,6000,46.178,277068.0,B,模拟账户B
2025-03-10,600120,浙江东方,BUY,20000,7.05,141000.0,B,模拟账户B
2025-03-10,002085,万丰奥威,BUY,5000,20.13,100650.0,B,模拟账户B
2025-03-10,601336,新华保险,BUY,3000,47.61,142830.0,B,模拟账户B
2025-03-10,601336,新华保险,BUY,3000,47.66,142980.0,B,模拟账户B
2025-03-11,601336,新华保险,BUY,4000,47.158,188633.0,B,模拟账户B
2025-03-11,600120,浙江东方,SELL,20000,7.08,141600.0,B,模拟账户B
2025-03-11,002050,三花智控,BUY,5000,30.43,152150.0,B,模拟账户B
2025-03-11,601336,新华保险,SELL,4000,47.83,191320.0,B,模拟账户B
2025-03-12,601336,新华保险,SELL,6000,48.52,291120.0,B,模拟账户B
2025-03-12,601766,中国中车,BUY,30000,7.31,219300.0,B,模拟账户B
2025-03-12,002050,三花智控,SELL,5000,30.522,152610.0,B,模拟账户B
2025-03-12,002050,三花智控,BUY,1500,30.41,45615.0,B,模拟账户B
2025-03-12,002050,三花智控,BUY,3500,30.4,106400.0,B,模拟账户B
2025-03-13,002085,万丰奥威,SELL,10000,19.33,193300.0,B,模拟账户B
2025-03-13,002085,万丰奥威,SELL,10000,19.02,190200.0,B,模拟账户B
2025-03-13,601766,中国中车,BUY,30000,7.28,218400.0,B,模拟账户B
2025-03-14,601766,中国中车,SELL,60000,7.37,442200.0,B,模拟账户B
2025-03-14,002050,三花智控,SELL,5000,30.31,151550.0,B,模拟账户B
2025-03-14,600104,上汽集团,BUY,10000,15.47,154700.0,B,模拟账户B
2025-03-14,600760,中航沈飞,BUY,5000,44.74,223700.0,B,模拟账户B
2025-03-14,601600,中国铝业,BUY,20000,7.81,156200.0,B,模拟账户B
2025-03-14,601600,中国铝业,BUY,10000,7.81,78100.0,B,模拟账户B
2025-03-14,601600,中国铝业,BUY,10000,7.78,77800.0,B,模拟账户B
2025-03-17,600104,上汽集团,SELL,10000,15.63,156300.0,B,模拟账户B
2025-03-17,600760,中航沈飞,SELL,5000,45.32,226600.0,B,模拟账户B
2025-03-17,000807,云铝股份,BUY,10000,18.06,180600.0,B,模拟账户B
2025-03-17,601600,中国铝业,BUY,10000,7.72,77200.0,B,模拟账户B
2025-03-17,000807,云铝股份,BUY,10000,18.0,180000.0,B,模拟账户B
2025-03-18,601600,中国铝业,SELL,20000,7.8,156000.0,B,模拟账户B
2025-03-18,601600,中国铝业,BUY,20000,7.78,155600.0,B,模拟账户B
2025-03-19,000807,云铝股份,BUY,10000,17.62,176200.0,B,模拟账户B
2025-03-19,000807,云铝股份,BUY,6000,17.57,105420.0,B,模拟账户B
2025-03-19,000807,云铝股份,SELL,10000,17.77,177700.0,B,模拟账户B
2025-03-19,002050,三花智控,BUY,6000,30.47,182820.0,B,模拟账户B
2025-03-19,000807,云铝股份,SELL,10000,17.88,178800.0,B,模拟账户B
2025-03-19,601600,中国铝业,BUY,10000,7.68,76800.0,B,模拟账户B
2025-03-19,000807,云铝股份,BUY,1900,17.82,33858.0,B,模拟账户B
2025-03-19,002050,三花智控,BUY,2000,30.31,60620.0,B,模拟账户B
2025-03-20,000807,云铝股份,SELL,10000,18.2,182000.0,B,模拟账户B
2025-03-20,002086,东方海洋,BUY,20000,3.09,61800.0,B,模拟账户B
2025-03-20,000807,云铝股份,SELL,7900,18.27,144333.0,B,模拟账户B
2025-03-20,002050,三花智控,BUY,2000,30.27,60540.0,B,模拟账户B
2025-03-20,600760,中航沈飞,BUY,4000,44.3,177200.0,B,模拟账户B
